Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60
[999.37895045],[999.37892932],[999.37891324],[999.37889716],[999.37888108],[999.37886499],[999.37884891],[999.37883283],[999.37881675],[999.37880067],[999.37878459],[999.37876851],[999.37875243],[999.37873635],[999.37872027],[999.37870418],[999.3786881],[999.37867202],[999.37865594],[999.37863986],[999.37862378],[999.3786077],[999.37859162],[999.37857554],[999.37855946],[999.37854337],[999.37852729],[999.37851121],[999.37849513],[999.37847905],[999.37846297],[999.37844689],[999.37843081],[999.37841473],[999.37839865],[999.37838256],[999.37836648],[999.3783504],[999.37833432],[999.37831824],[999.37830216],[999.37828608],[999.37827],[999.37825392],[999.37823784],[999.37822175],[999.37820567],[999.37818959],[999.37817351],[999.37815743],[999.37814135],[999.37812527],[999.37810919],[999.37809311],[999.37807703],[999.37806094],[999.37804486],[999.37802878],[999.3780127],[999.37799662]
[999.32158889],[999.32150308],[999.32149647],[999.32148986],[999.32148326],[999.32147665],[999.32147004],[999.32146343],[999.32145682],[999.32145022],[999.32144361],[999.321437],[999.32143039],[999.32142378],[999.32141718],[999.32141057],[999.32140396],[999.32139735],[999.32139074],[999.32138413],[999.32137753],[999.32137092],[999.32136431],[999.3213577],[999.32135109],[999.32134449],[999.32133788],[999.32133127],[999.32132466],[999.32131805],[999.32131145],[999.32130484],[999.32129823],[999.32129162],[999.32128501],[999.32127841],[999.3212718],[999.32126519],[999.32125858],[999.32125197],[999.32124537],[999.32123876],[999.32123215],[999.32122554],[999.32121893],[999.32121232],[999.32120572],[999.32119911],[999.3211925],[999.32118589],[999.32117928],[999.32117268],[999.32116607],[999.32115946],[999.32115285],[999.32114624],[999.32113964],[999.32113303],[999.32112642],[999.32111981]
[999.35800691],[999.35806914],[999.35805159],[999.35803403],[999.35801647],[999.35799892],[999.35798136],[999.35796381],[999.35794625],[999.35792869],[999.35791114],[999.35789358],[999.35787603],[999.35785847],[999.35784091],[999.35782336],[999.3578058],[999.35778824],[999.35777069],[999.35775313],[999.35773558],[999.35771802],[999.35770046],[999.35768291],[999.35766535],[999.3576478],[999.35763024],[999.35761268],[999.35759513],[999.35757757],[999.35756001],[999.35754246],[999.3575249],[999.35750735],[999.35748979],[999.35747223],[999.35745468],[999.35743712],[999.35741957],[999.35740201],[999.35738445],[999.3573669],[999.35734934],[999.35733178],[999.35731423],[999.35729667],[999.35727912],[999.35726156],[999.357244],[999.35722645],[999.35720889],[999.35719134],[999.35717378],[999.35715622],[999.35713867],[999.35712111],[999.35710356],[999.357086],[999.35706844],[999.35705089]
[999.27207785],[999.27195774],[999.27194402],[999.27193029],[999.27191657],[999.27190285],[999.27188913],[999.2718754],[999.27186168],[999.27184796],[999.27183424],[999.27182052],[999.27180679],[999.27179307],[999.27177935],[999.27176563],[999.27175191],[999.27173818],[999.27172446],[999.27171074],[999.27169702],[999.2716833],[999.27166957],[999.27165585],[999.27164213],[999.27162841],[999.27161469],[999.27160096],[999.27158724],[999.27157352],[999.2715598],[999.27154607],[999.27153235],[999.27151863],[999.27150491],[999.27149119],[999.27147746],[999.27146374],[999.27145002],[999.2714363],[999.27142258],[999.27140885],[999.27139513],[999.27138141],[999.27136769],[999.27135397],[999.27134024],[999.27132652],[999.2713128],[999.27129908],[999.27128536],[999.27127163],[999.27125791],[999.27124419],[999.27123047],[999.27121674],[999.27120302],[999.2711893],[999.27117558],[999.27116186]
[999.3540663],[999.35403815],[999.35403011],[999.35402207],[999.35401403],[999.35400599],[999.35399795],[999.35398991],[999.35398187],[999.35397382],[999.35396578],[999.35395774],[999.3539497],[999.35394166],[999.35393362],[999.35392558],[999.35391754],[999.3539095],[999.35390146],[999.35389342],[999.35388538],[999.35387733],[999.35386929],[999.35386125],[999.35385321],[999.35384517],[999.35383713],[999.35382909],[999.35382105],[999.35381301],[999.35380497],[999.35379693],[999.35378889],[999.35378084],[999.3537728],[999.35376476],[999.35375672],[999.35374868],[999.35374064],[999.3537326],[999.35372456],[999.35371652],[999.35370848],[999.35370044],[999.3536924],[999.35368435],[999.35367631],[999.35366827],[999.35366023],[999.35365219],[999.35364415],[999.35363611],[999.35362807],[999.35362003],[999.35361199],[999.35360395],[999.35359591],[999.35358787],[999.35357982],[999.35357178]
[999.33482587],[999.33472039],[999.3347074],[999.33469441],[999.33468142],[999.33466844],[999.33465545],[999.33464246],[999.33462947],[999.33461649],[999.3346035],[999.33459051],[999.33457752],[999.33456454],[999.33455155],[999.33453856],[999.33452557],[999.33451259],[999.3344996],[999.33448661],[999.33447362],[999.33446064],[999.33444765],[999.33443466],[999.33442167],[999.33440869],[999.3343957],[999.33438271],[999.33436972],[999.33435673],[999.33434375],[999.33433076],[999.33431777],[999.33430478],[999.3342918],[999.33427881],[999.33426582],[999.33425283],[999.33423985],[999.33422686],[999.33421387],[999.33420088],[999.3341879],[999.33417491],[999.33416192],[999.33414893],[999.33413595],[999.33412296],[999.33410997],[999.33409698],[999.334084],[999.33407101],[999.33405802],[999.33404503],[999.33403204],[999.33401906],[999.33400607],[999.33399308],[999.33398009],[999.33396711]
[999.36353749],[999.36354867],[999.36354271],[999.36353675],[999.3635308],[999.36352484],[999.36351888],[999.36351292],[999.36350697],[999.36350101],[999.36349505],[999.36348909],[999.36348314],[999.36347718],[999.36347122],[999.36346526],[999.36345931],[999.36345335],[999.36344739],[999.36344143],[999.36343548],[999.36342952],[999.36342356],[999.3634176],[999.36341165],[999.36340569],[999.36339973],[999.36339377],[999.36338782],[999.36338186],[999.3633759],[999.36336994],[999.36336398],[999.36335803],[999.36335207],[999.36334611],[999.36334015],[999.3633342],[999.36332824],[999.36332228],[999.36331632],[999.36331037],[999.36330441],[999.36329845],[999.36329249],[999.36328654],[999.36328058],[999.36327462],[999.36326866],[999.36326271],[999.36325675],[999.36325079],[999.36324483],[999.36323888],[999.36323292],[999.36322696],[999.363221],[999.36321505],[999.36320909],[999.36320313]
[999.32133121],[999.32152519],[999.32151506],[999.32150492],[999.32149479],[999.32148465],[999.32147452],[999.32146438],[999.32145425],[999.32144411],[999.32143398],[999.32142385],[999.32141371],[999.32140358],[999.32139344],[999.32138331],[999.32137317],[999.32136304],[999.3213529],[999.32134277],[999.32133264],[999.3213225],[999.32131237],[999.32130223],[999.3212921],[999.32128196],[999.32127183],[999.32126169],[999.32125156],[999.32124142],[999.32123129],[999.32122116],[999.32121102],[999.32120089],[999.32119075],[999.32118062],[999.32117048],[999.32116035],[999.32115021],[999.32114008],[999.32112994],[999.32111981],[999.32110968],[999.32109954],[999.32108941],[999.32107927],[999.32106914],[999.321059],[999.32104887],[999.32103873],[999.3210286],[999.32101847],[999.32100833],[999.3209982],[999.32098806],[999.32097793],[999.32096779],[999.32095766],[999.32094752],[999.32093739]
[999.20802292],[999.20781869],[999.2078179],[999.20781711],[999.20781632],[999.20781553],[999.20781474],[999.20781395],[999.20781316],[999.20781236],[999.20781157],[999.20781078],[999.20780999],[999.2078092],[999.20780841],[999.20780762],[999.20780683],[999.20780603],[999.20780524],[999.20780445],[999.20780366],[999.20780287],[999.20780208],[999.20780129],[999.2078005],[999.2077997],[999.20779891],[999.20779812],[999.20779733],[999.20779654],[999.20779575],[999.20779496],[999.20779417],[999.20779337],[999.20779258],[999.20779179],[999.207791],[999.20779021],[999.20778942],[999.20778863],[999.20778784],[999.20778705],[999.20778625],[999.20778546],[999.20778467],[999.20778388],[999.20778309],[999.2077823],[999.20778151],[999.20778072],[999.20777992],[999.20777913],[999.20777834],[999.20777755],[999.20777676],[999.20777597],[999.20777518],[999.20777439],[999.20777359],[999.2077728]
[999.39940853],[999.39937526],[999.39937426],[999.39937325],[999.39937225],[999.39937124],[999.39937024],[999.39936923],[999.39936823],[999.39936722],[999.39936622],[999.39936521],[999.39936421],[999.3993632],[999.39936219],[999.39936119],[999.39936018],[999.39935918],[999.39935817],[999.39935717],[999.39935616],[999.39935516],[999.39935415],[999.39935315],[999.39935214],[999.39935114],[999.39935013],[999.39934913],[999.39934812],[999.39934712],[999.39934611],[999.39934511],[999.3993441],[999.3993431],[999.39934209],[999.39934109],[999.39934008],[999.39933908],[999.39933807],[999.39933707],[999.39933606],[999.39933506],[999.39933405],[999.39933305],[999.39933204],[999.39933104],[999.39933003],[999.39932903],[999.39932802],[999.39932701],[999.39932601],[999.399325],[999.399324],[999.39932299],[999.39932199],[999.39932098],[999.39931998],[999.39931897],[999.39931797],[999.39931696]
