Step_1,Step_2,Step_3,Step_4,Step_5,Step_6
[999.19006169],[999.19000657],[999.19000229],[999.18999801],[999.18999372],[999.18998944]
[999.33777807],[999.33774508],[999.33774205],[999.33773903],[999.33773601],[999.33773298]
[999.36317976],[999.36322279],[999.36321357],[999.36320435],[999.36319514],[999.36318592]
[999.31130728],[999.31141017],[999.31140022],[999.31139026],[999.31138031],[999.31137036]
[999.26346987],[999.26327641],[999.26327438],[999.26327235],[999.26327031],[999.26326828]
[999.43320307],[999.43311691],[999.4331179],[999.43311888],[999.43311986],[999.43312085]
[999.41098053],[999.41104528],[999.41104602],[999.41104675],[999.41104749],[999.41104823]
[999.32466808],[999.32453017],[999.32453109],[999.32453202],[999.32453295],[999.32453387]
[999.42601047],[999.42616147],[999.42616156],[999.42616166],[999.42616176],[999.42616186]
[999.28114564],[999.28130904],[999.28131095],[999.28131286],[999.28131477],[999.28131667]
[999.24705659],[999.24653355],[999.2465266],[999.24651965],[999.24651269],[999.24650574]
[999.59389095],[999.59402876],[999.5940289],[999.59402904],[999.59402919],[999.59402933]
[999.33732211],[999.33731861],[999.337321],[999.3373234],[999.33732579],[999.33732818]
[999.34945702],[999.34894751],[999.3489458],[999.34894409],[999.34894239],[999.34894068]
[999.61232925],[999.61236828],[999.61236897],[999.61236967],[999.61237037],[999.61237106]
[999.39621796],[999.39654065],[999.39653524],[999.39652984],[999.39652444],[999.39651903]
[999.21423562],[999.21426071],[999.21425978],[999.21425885],[999.21425792],[999.21425699]
[999.3183799],[999.31828111],[999.31828398],[999.31828685],[999.31828973],[999.3182926]
[999.40799577],[999.40832948],[999.40833075],[999.40833201],[999.40833327],[999.40833453]
[999.20927226],[999.20919257],[999.20917751],[999.20916246],[999.2091474],[999.20913234]
[999.33712934],[999.33758711],[999.33755552],[999.33752394],[999.33749235],[999.33746076]
[999.04298129],[999.04278268],[999.04275662],[999.04273056],[999.0427045],[999.04267844]
[999.3591741],[999.35880732],[999.35878628],[999.35876523],[999.35874419],[999.35872314]
[999.48146103],[999.48149729],[999.48146893],[999.48144056],[999.4814122],[999.48138383]
[999.29881845],[999.29919829],[999.29916336],[999.29912842],[999.29909349],[999.29905855]
[999.08173112],[999.08149685],[999.08148631],[999.08147576],[999.08146522],[999.08145467]
[999.39258668],[999.39282969],[999.39280449],[999.3927793],[999.39275411],[999.39272891]
[999.17786449],[999.17780631],[999.17778973],[999.17777315],[999.17775657],[999.17773998]
[999.30060304],[999.3005337],[999.30053384],[999.30053398],[999.30053411],[999.30053425]
[999.36773465],[999.36774827],[999.3677468],[999.36774532],[999.36774385],[999.36774238]
[999.32785575],[999.32799605],[999.32799395],[999.32799185],[999.32798974],[999.32798764]
[999.24334366],[999.24355786],[999.24354712],[999.24353638],[999.24352564],[999.2435149]
[999.15735429],[999.1573246],[999.15732426],[999.15732392],[999.15732357],[999.15732323]
[999.31076439],[999.31079269],[999.31079137],[999.31079005],[999.31078873],[999.31078741]
[999.29951956],[999.29934674],[999.2993455],[999.29934425],[999.29934301],[999.29934177]
[999.4114467],[999.41123411],[999.4112344],[999.41123469],[999.41123498],[999.41123527]
[999.45411549],[999.45395552],[999.45395087],[999.45394622],[999.45394157],[999.45393692]
[999.42455763],[999.42465589],[999.4246552],[999.42465452],[999.42465383],[999.42465315]
[999.28676559],[999.28635786],[999.28635555],[999.28635324],[999.28635093],[999.28634862]
[999.54959184],[999.5496673],[999.54966289],[999.54965847],[999.54965405],[999.54964964]
